2025-08-17 10:50:15 | INFO | __main__:main:31 | 启动 Factor Mining System v1.0.0
2025-08-17 10:50:15 | INFO | __main__:main:32 | API服务地址: http://0.0.0.0:8000
2025-08-17 10:50:15 | INFO | __main__:main:33 | API文档地址: http://0.0.0.0:8000/docs
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: momentum_10
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: momentum_20
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: momentum_60
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: rsi_momentum_14
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: macd_momentum_12_26_9
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: macd_momentum_12_26_9_ta
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: volume_momentum_20
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: price_volume_momentum_20
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: acceleration_10
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: roc_12
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: roc_24
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: volatility_10
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: volatility_20
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: volatility_60
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: atr_14
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: atr_20
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: bollinger_volatility_20_2.0
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: garch_volatility_30
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: volatility_skew_20
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: volatility_kurtosis_20
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: realized_volatility_20
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: reversal_3
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: reversal_5
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: reversal_10
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: rsi_reversal_14
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: stochastic_reversal_14_3
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: williams_r_reversal_14
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: bollinger_reversal_20_2.0
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: mean_reversion_5_20
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: volume_reversal_20
2025-08-17 10:50:15 | INFO | src.factors.base.factor:register:262 | 注册因子: cci_reversal_20
2025-08-17 10:50:16 | INFO | src.api.main:lifespan:23 | 启动 Factor Mining System API
2025-08-17 10:50:16 | INFO | src.api.main:lifespan:27 | 初始化系统组件...
2025-08-17 10:54:12 | ERROR | src.evaluation.metrics.ic_analysis:rank_ic_analysis:274 | 分层IC分析失败: 'Q5'
2025-08-17 10:56:46 | WARNING | src.api.routers.evaluation:rank_factors:409 | 评估因子 momentum_10 失败: 'FactorMetadata' object has no attribute 'dict'
2025-08-17 10:56:46 | WARNING | src.api.routers.evaluation:rank_factors:409 | 评估因子 momentum_20 失败: 'FactorMetadata' object has no attribute 'dict'
2025-08-17 10:56:46 | WARNING | src.api.routers.evaluation:rank_factors:409 | 评估因子 momentum_60 失败: 'FactorMetadata' object has no attribute 'dict'
